codmunicipio,valor,beneficiarios,ano,mes
1100262,443217,1065,2020,10
1100262,573417,1105,2020,11
1100262,516385,1080,2020,12
1100262,4800,5,2021,1
1100288,8432400,12102,2020,4
1100288,10820400,15257,2020,5
1100288,5670000,8079,2020,6
1100288,11161200,16152,2020,7
1100288,9619800,13902,2020,8
1100288,10390451,16742,2020,9
1100288,6447211,14828,2020,10
1100288,8485332,15572,2020,11
1100288,7879133,15195,2020,12
1100288,120600,98,2021,1
1100296,1313400,1904,2020,4
1100296,1609200,2289,2020,5
1100296,960600,1370,2020,6
1100296,1645200,2404,2020,7
1100296,1446600,2114,2020,8
1100296,1344435,2438,2020,9
1100296,877105,2219,2020,10
1100296,1111372,2311,2020,11
1100296,1035086,2272,2020,12
1100296,13200,11,2021,1
1101484,795000,1209,2020,4
1101484,986400,1458,2020,5
1101484,517200,790,2020,6
1101484,1027800,1550,2020,7
1101484,929400,1400,2020,8
1101484,964154,1627,2020,9
1101484,594647,1445,2020,10
1101484,792988,1528,2020,11
1101484,724029,1485,2020,12
1101484,8100,6,2021,1
1101492,3222600,4667,2020,4
1101492,3856800,5437,2020,5
1101492,2349600,3344,2020,6
1101492,3929400,5721,2020,7
1101492,3477600,5040,2020,8
1101492,3263995,5809,2020,9
1101492,2065415,5236,2020,10
1101492,2699563,5500,2020,11
1101492,2551479,5415,2020,12
1101492,29100,24,2021,1
1100320,3642600,5365,2020,4
1100320,4725600,6727,2020,5
1100320,2514600,3707,2020,6
1100320,4806600,7116,2020,7
1100320,4207200,6236,2020,8
1100320,4338700,7347,2020,9
1100320,2598850,6338,2020,10
1100320,3366155,6611,2020,11
1100320,3147583,6454,2020,12
1100320,24900,25,2021,1
1101500,2497800,3744,2020,4
1101500,2872800,4218,2020,5
1101500,1821600,2676,2020,6
1101500,2947200,4427,2020,7
1101500,2590200,3891,2020,8
1101500,2357451,4468,2020,9
1101500,1511589,4107,2020,10
1101500,1946799,4263,2020,11
1101500,1838057,4220,2020,12
1101500,24900,21,2021,1
1101559,792000,1186,2020,4
1101559,940800,1396,2020,5
1101559,576000,857,2020,6
1101559,984600,1489,2020,7
1101559,885000,1339,2020,8
1101559,831242,1531,2020,9
1101559,534682,1383,2020,10
1101559,705982,1474,2020,11
1101559,641522,1438,2020,12
1101559,5400,5,2021,1
1101609,1620000,2479,2020,4
1101609,1904400,2843,2020,5
1101609,1158000,1755,2020,6
1101609,2020800,3066,2020,7
1101609,1788000,2727,2020,8
1101609,1685686,3158,2020,9
1101609,1060493,2845,2020,10
1101609,1395532,2988,2020,11
1101609,1277332,2944,2020,12
1101609,5700,7,2021,1
